,class,arm,sum,n,sum2,round,mean
3,C1,A4,85.546072059653,2,3718.198475656641,18,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,18,45.44670296508687
5,C1,A6,326.99904834748236,6,18272.81879009505,18,54.49984139124706
6,C2,A1,-59.04334148482469,2,1751.0803919147988,18,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,18,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,18,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,18,-38.47747211735696
10,C2,A5,460.0433511286603,7,41737.160536520896,18,65.72047873266575
11,C2,A6,131.91678278697802,3,18074.9115630093,18,43.972260928992675
0,C1,A1,17.37385720903893,2,154.03580814418453,19,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,19,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,19,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,19,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,19,45.44670296508687
5,C1,A6,401.02394324949654,7,23752.503855349278,19,57.289134749928074
6,C2,A1,-59.04334148482469,2,1751.0803919147988,19,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,19,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,19,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,19,-38.47747211735696
10,C2,A5,460.0433511286603,7,41737.160536520896,19,65.72047873266575
11,C2,A6,279.6612221044913,4,39903.33091225567,19,69.91530552612282
0,C1,A1,17.37385720903893,2,154.03580814418453,20,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,20,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,20,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,20,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,20,45.44670296508687
5,C1,A6,470.51664590875646,8,28581.739578237586,20,58.81458073859456
6,C2,A1,-59.04334148482469,2,1751.0803919147988,20,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,20,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,20,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,20,-38.47747211735696
10,C2,A5,556.6596492337849,8,51071.86959605919,20,69.58245615422311
11,C2,A6,279.6612221044913,4,39903.33091225567,20,69.91530552612282
0,C1,A1,17.37385720903893,2,154.03580814418453,21,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,21,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,21,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,21,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,21,45.44670296508687
5,C1,A6,544.0620867303828,9,33990.67144388495,21,60.45134297004253
6,C2,A1,-59.04334148482469,2,1751.0803919147988,21,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,21,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,21,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,21,-38.47747211735696
10,C2,A5,556.6596492337849,8,51071.86959605919,21,69.58245615422311
11,C2,A6,398.31689138710726,5,53982.4987651612,21,79.66337827742146
0,C1,A1,17.37385720903893,2,154.03580814418453,22,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,22,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,22,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,22,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,22,45.44670296508687
5,C1,A6,602.2968818152301,10,37381.962802459086,22,60.22968818152301
6,C2,A1,-59.04334148482469,2,1751.0803919147988,22,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,22,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,22,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,22,-38.47747211735696
10,C2,A5,556.6596492337849,8,51071.86959605919,22,69.58245615422311
11,C2,A6,398.31689138710726,5,53982.4987651612,22,79.66337827742146
0,C1,A1,17.37385720903893,2,154.03580814418453,23,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,23,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,23,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,23,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,23,45.44670296508687
5,C1,A6,651.7476588511075,11,39827.34215191115,23,59.2497871682825
6,C2,A1,-59.04334148482469,2,1751.0803919147988,23,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,23,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,23,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,23,-38.47747211735696
10,C2,A5,556.6596492337849,8,51071.86959605919,23,69.58245615422311
11,C2,A6,459.50193475490966,6,57726.10829708107,23,76.58365579248495
0,C1,A1,17.37385720903893,2,154.03580814418453,24,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,24,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,24,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,24,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,24,45.44670296508687
5,C1,A6,692.7492276284671,12,41508.470794115696,24,57.72910230237226
6,C2,A1,-59.04334148482469,2,1751.0803919147988,24,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,24,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,24,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,24,-38.47747211735696
10,C2,A5,556.6596492337849,8,51071.86959605919,24,69.58245615422311
11,C2,A6,465.9103325930552,7,57767.175859933006,24,66.55861894186503
0,C1,A1,17.37385720903893,2,154.03580814418453,25,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,25,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,25,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,25,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,25,45.44670296508687
5,C1,A6,761.1898416885742,13,46192.588447040216,25,58.55306474527494
6,C2,A1,-59.04334148482469,2,1751.0803919147988,25,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,25,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,25,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,25,-38.47747211735696
10,C2,A5,556.6596492337849,8,51071.86959605919,25,69.58245615422311
11,C2,A6,562.394268539633,8,67076.32575567633,25,70.29928356745413
0,C1,A1,17.37385720903893,2,154.03580814418453,26,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,26,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,26,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,26,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,26,45.44670296508687
5,C1,A6,837.4077035502638,14,52001.750913807824,26,59.814835967875986
6,C2,A1,-59.04334148482469,2,1751.0803919147988,26,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,26,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,26,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,26,-38.47747211735696
10,C2,A5,644.4903172075915,9,58786.09583278424,26,71.61003524528795
11,C2,A6,562.394268539633,8,67076.32575567633,26,70.29928356745413
0,C1,A1,17.37385720903893,2,154.03580814418453,27,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,27,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,27,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,27,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,27,45.44670296508687
5,C1,A6,894.2112375105643,15,55228.392384186816,27,59.614082500704285
6,C2,A1,-59.04334148482469,2,1751.0803919147988,27,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,27,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,27,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,27,-38.47747211735696
10,C2,A5,644.4903172075915,9,58786.09583278424,27,71.61003524528795
11,C2,A6,563.6886846816861,9,67078.00126882513,27,62.6320760757429
0,C1,A1,17.37385720903893,2,154.03580814418453,28,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,28,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,28,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,28,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,28,45.44670296508687
5,C1,A6,947.9802713405032,16,58119.501383191935,28,59.24876695878145
6,C2,A1,-59.04334148482469,2,1751.0803919147988,28,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,28,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,28,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,28,-38.47747211735696
10,C2,A5,699.9174029220441,10,61858.257663581506,28,69.99174029220441
11,C2,A6,563.6886846816861,9,67078.00126882513,28,62.6320760757429
0,C1,A1,17.37385720903893,2,154.03580814418453,29,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,29,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,29,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,29,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,29,45.44670296508687
5,C1,A6,1007.2673517831447,17,61634.45929060421,29,59.25102069312616
6,C2,A1,-59.04334148482469,2,1751.0803919147988,29,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,29,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,29,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,29,-38.47747211735696
10,C2,A5,795.6738114281094,11,71027.547433562,29,72.33398285710085
11,C2,A6,563.6886846816861,9,67078.00126882513,29,62.6320760757429
0,C1,A1,17.37385720903893,2,154.03580814418453,30,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,30,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,30,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,30,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,30,45.44670296508687
5,C1,A6,1072.9071376593697,18,65943.0407804808,30,59.60595209218721
6,C2,A1,-59.04334148482469,2,1751.0803919147988,30,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,30,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,30,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,30,-38.47747211735696
10,C2,A5,795.6738114281094,11,71027.547433562,30,72.33398285710085
11,C2,A6,561.3601662569507,10,67083.42326687946,30,56.13601662569507
0,C1,A1,17.37385720903893,2,154.03580814418453,31,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,31,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,31,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,31,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,31,45.44670296508687
5,C1,A6,1139.5695852669533,19,70386.92270151466,31,59.97734659299754
6,C2,A1,-59.04334148482469,2,1751.0803919147988,31,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,31,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,31,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,31,-38.47747211735696
10,C2,A5,840.3824324005782,12,73026.40822282185,31,70.03186936671484
11,C2,A6,561.3601662569507,10,67083.42326687946,31,56.13601662569507
0,C1,A1,17.37385720903893,2,154.03580814418453,32,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,32,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,32,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,32,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,32,45.44670296508687
5,C1,A6,1197.2625223835796,20,73715.39769465769,32,59.86312611917898
6,C2,A1,-59.04334148482469,2,1751.0803919147988,32,-29.521670742412343
7,C2,A2,37.91582323947875,2,3157.1439303064753,32,18.957911619739374
8,C2,A3,53.72645759015597,3,5220.816352490781,32,17.908819196718657
9,C2,A4,-76.95494423471392,2,3276.7378779591704,32,-38.47747211735696
10,C2,A5,840.3824324005782,12,73026.40822282185,32,70.03186936671484
11,C2,A6,495.8571323409033,11,71374.07071908633,32,45.0779211219003
0,C1,A1,17.37385720903893,2,154.03580814418453,33,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,33,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,33,27.91986348731895
3,C1,A4,85.546072059653,2,3718.198475656641,33,42.7730360298265
4,C1,A5,181.78681186034748,4,8601.513749750387,33,45.44670296508687
5,C1,A6,1253.608379234163,21,76890.2532788841,33,59.695637106388716
6,C2,A1,-59.04334148482469,2,1751.0803919147988,33,-29.521670742412343
